0.34 	 0.59 	 0.77 	 5.47 	 0.50 	 5.000000e-02 	 8.00e+01 	 5.00e-01 	 1  	 0  	 0  	 0 
0.58 	 0.60 	 0.75 	 5.16 	 0.50 	 5.000000e-02 	 8.00e+01 	 5.00e-01 	 1  	 0  	 0  	 0 
0.16 	 0.45 	 0.60 	 5.45 	 1.00 	 5.000000e-02 	 8.00e+01 	 1.00e+00 	 1  	 0  	 0  	 0 
0.70 	 0.45 	 0.58 	 5.33 	 1.00 	 5.000000e-02 	 8.00e+01 	 1.00e+00 	 1  	 0  	 0  	 0 
0.65 	 0.45 	 0.58 	 5.50 	 1.00 	 5.000000e-02 	 8.00e+01 	 1.00e+00 	 1  	 0  	 0  	 0 
0.34 	 0.45 	 0.60 	 5.34 	 1.00 	 5.000000e-02 	 8.00e+01 	 1.00e+00 	 1  	 0  	 0  	 0 
0.78 	 0.45 	 0.57 	 5.77 	 1.00 	 5.000000e-02 	 8.00e+01 	 1.00e+00 	 1  	 0  	 0  	 0 
0.42 	 0.45 	 0.59 	 5.28 	 1.00 	 5.000000e-02 	 8.00e+01 	 1.00e+00 	 1  	 0  	 0  	 0 
0.49 	 0.45 	 0.59 	 5.70 	 1.00 	 5.000000e-02 	 8.00e+01 	 1.00e+00 	 1  	 0  	 0  	 0 
0.60 	 0.45 	 0.58 	 5.77 	 1.00 	 5.000000e-02 	 8.00e+01 	 1.00e+00 	 1  	 0  	 0  	 0 
0.67 	 0.45 	 0.58 	 5.80 	 1.00 	 5.000000e-02 	 8.00e+01 	 1.00e+00 	 1  	 0  	 0  	 0 
0.28 	 0.45 	 0.60 	 6.03 	 1.00 	 5.000000e-02 	 8.00e+01 	 1.00e+00 	 1  	 0  	 0  	 0 
0.36 	 0.45 	 0.59 	 5.75 	 1.00 	 5.000000e-02 	 8.00e+01 	 1.00e+00 	 1  	 0  	 0  	 0 
0.11 	 0.45 	 0.61 	 5.38 	 1.00 	 5.000000e-02 	 8.00e+01 	 1.00e+00 	 1  	 0  	 0  	 0 
0.54 	 0.45 	 0.58 	 5.72 	 1.00 	 5.000000e-02 	 8.00e+01 	 1.00e+00 	 1  	 0  	 0  	 0 
0.84 	 0.45 	 0.57 	 5.45 	 1.00 	 5.000000e-02 	 8.00e+01 	 1.00e+00 	 1  	 0  	 0  	 0 
0.44 	 0.45 	 0.59 	 5.55 	 1.00 	 5.000000e-02 	 8.00e+01 	 1.00e+00 	 1  	 0  	 0  	 0 
0.19 	 0.45 	 0.60 	 5.09 	 1.00 	 5.000000e-02 	 8.00e+01 	 1.00e+00 	 1  	 0  	 0  	 0 
0.50 	 0.45 	 0.59 	 5.86 	 1.00 	 5.000000e-02 	 8.00e+01 	 1.00e+00 	 1  	 0  	 0  	 0 
3.04 	 0.44 	 0.46 	 5.06 	 1.00 	 5.000000e-02 	 8.00e+01 	 1.00e+00 	 1  	 0  	 0  	 0 
0.33 	 0.45 	 0.60 	 5.39 	 1.00 	 5.000000e-02 	 8.00e+01 	 1.00e+00 	 1  	 0  	 0  	 0 
